Topic Area,Key Area,Objective Number,Leading Health Indicator,Developmental,Main Objective Text,Specific Objective Text,Target,Baseline,Symbol,Units,Baseline Statement,Baseline Year,TargetSettingMethodology,DataSource,Objective Details
Tobacco Use,Social and Environmental Changes,TU-13.17,,,"Establish laws in States, District of Columbia, Territories, and Tribes on smoke-free indoor air that prohibit smoking in public places and worksites",Establish laws in States and the District of Columbia on smoke-free indoor air that prohibit smoking in College/university campuses ,51,1,,States and D.C.,1 State had a smoke-free indoor air law prohibiting smoking on college and university campuses in 2009,2009,Total coverage,Increase,"State Tobacco Activities Tracking and Evaluation System (STATE), CDC, NCCDPHP, OSH"
Tobacco Use,Social and Environmental Changes,TU-13.10,,,"Establish laws in States, District of Columbia, Territories, and Tribes on smoke-free indoor air that prohibit smoking in public places and worksites",Establish laws in States and the District of Columbia on smoke-free indoor air that prohibit smoking in Multiunit housing,51,0,,States and D.C.,0 States or the District of Columbia had smoke-free indoor air laws that prohibit smoking in multiunit housing in 2009,2009,Total coverage,Increase,"State Tobacco Activities Tracking and Evaluation System (STATE), CDC, NCCDPHP, OSH"
Tobacco Use,Social and Environmental Changes,TU-11.3,,,Reduce the proportion of nonsmokers exposed to secondhand smoke,Reduce the proportion of adults aged 18 years and older exposed to secondhand smoke,33.7999999999999,37.6,%,Percent,37.6 percent of nonsmoking adults aged 18 years and older were exposed to secondhand smoke in 2005–08 (age adjusted to the year 2000 standard population),,10 percent improvement,Decrease,"National Health and Nutrition Examination Survey (NHANES), CDC, NCHS"
Tobacco Use,Tobacco Use Prevalence,TU-3.7,,,"Reduce the initiation of tobacco use among children, adolescents, and young adults",Reduce the initiation of the use of smokeless tobacco products by adults aged 18 to 25 years,0.2,2.2,%,Percent,2.2 percent of young adults aged 18 to 25 years who had not previously used smokeless tobacco in their lifetime first used smokeless tobacco products in the previous 12 months in 2008,2008,2 percentage point improvement,Decrease,"National Survey on Drug Use and Health (NSDUH), SAMHSA"
Tobacco Use,Health Systems Changes,TU-10.3,,,Increase tobacco cessation counseling in health care settings,Increase tobacco cessation counseling in dental care settings,39.2999999999999,35.7,%,Percent,35.7 percent of general practice dentists reported that they or their dental team usually or always personally counsel patients who use tobacco products on tobacco cessation in 2010,2010,10 percent improvement,Increase,"Survey of Dental Practice, American Dental Association (ADA)"
Tobacco Use,Tobacco Use Prevalence,TU-2.2,LHI: Leading Health Indicators are a subset of Healthy People 2020 objectives selected to communicate high-priority health issues.,,Reduce tobacco use by adolescents,Reduce use of cigarettes by adolescents (past month),16,19.5,%,Percent,19.5 percent of adolescents in grades 9 through 12 smoked cigarettes in the past 30 days in 2009,2009,Retain Healthy People 2010 target of 16 percent,Decrease,"Youth Risk Behavior Surveillance System (YRBSS), CDC, NCCDPHP"
Tobacco Use,Tobacco Use Prevalence,TU-7,,,Increase smoking cessation attempts by adolescent smokers,Increase smoking cessation attempts by adolescent smokers,64,58.5,%,Percent,58.5 percent of adolescent smokers in grades 9 through 12 tried to stop smoking in the past 12 months in 2009,2009,Retain Healthy People 2010 target of 64 percent,Increase,"Youth Risk Behavior Surveillance System (YRBSS), CDC, NCCDPHP"
Tobacco Use,Tobacco Use Prevalence,TU-3.8,,,"Reduce the initiation of tobacco use among children, adolescents, and young adults",Reduce the initiation of the use of cigars by adults aged 18 to 25 years,4.3,6.3,%,Percent,6.3 percent of young adults aged 18 to 25 years who had not previously smoked cigars in their lifetime first smoked cigars in the previous 12 months in 2008,2008,2 percentage point improvement,Decrease,"National Survey on Drug Use and Health (NSDUH), SAMHSA"
Tobacco Use,Tobacco Use Prevalence,TU-3.6,,,"Reduce the initiation of tobacco use among children, adolescents, and young adults",Reduce the initiation of the use of cigarettes by adults aged 18 to 25 years,6.4,8.4,%,Percent,8.4 percent of young adults aged 18 to 25 years who had not previously smoked cigarettes in their lifetime first smoked cigarettes in the past 12 months in 2008,2008,2 percentage point improvement,Decrease,"National Survey on Drug Use and Health (NSDUH), SAMHSA"
Tobacco Use,Social and Environmental Changes,TU-20.2,,Developmental Objective,"Increase the number of States and the District of Columbia, Territories, and Tribes with comprehensive evidence-based tobacco control programs.",Increase the number of Territories with sustainable and comprehensive evidence-based tobacco control programs,,,,Territories,TBD,,TBD,,"State Tobacco Activities Tracking and Evaluation System (STATE), CDC, NCCDPHP, OSH"
